,id,2015-12-17 10:00,2015-12-17 11:00,2015-12-17 12:00,2015-12-17 13:00,2015-12-17 14:00,2015-12-17 15:00
211,441,3.0,1.0,2.0,1.0,,
212,443,,,1.0,,,
213,444,1.0,1.0,1.0,,1.0,
214,446,,,,,1.0,
215,448,,1.0,,,,
216,449,,,,,1.0,
217,451,22.0,73.0,50.0,44.0,50.0,64.0
218,452,45.0,175.0,171.0,160.0,185.0,124.0
219,453,45.0,244.0,268.0,216.0,207.0,151.0
220,454,58.0,290.0,273.0,279.0,315.0,208.0
221,455,29.0,144.0,153.0,126.0,154.0,96.0
222,456,6.0,29.0,17.0,20.0,17.0,11.0
223,458,,,1.0,1.0,,
224,459,,1.0,1.0,,,1.0
225,460,,1.0,,,,
226,461,,,,,,1.0
227,464,,,,1.0,,1.0
228,470,,,,1.0,4.0,
229,471,,2.0,,1.0,1.0,1.0
230,472,,,,,1.0,
231,476,14.0,79.0,84.0,86.0,88.0,60.0
232,477,37.0,179.0,175.0,183.0,163.0,141.0
233,478,42.0,212.0,203.0,198.0,180.0,109.0
234,479,30.0,181.0,178.0,152.0,171.0,107.0
235,480,32.0,113.0,98.0,101.0,116.0,77.0
236,481,7.0,21.0,16.0,6.0,7.0,8.0
237,483,,1.0,1.0,1.0,,
238,484,1.0,,2.0,1.0,2.0,3.0
239,485,,,,,1.0,1.0
240,486,,,,1.0,,
241,491,,,,1.0,,1.0
242,492,,,,,1.0,
243,494,,,,,1.0,
244,495,,1.0,,,,
245,496,,,,1.0,,
246,497,,1.0,1.0,,,1.0
247,498,,,1.0,1.0,,
248,501,19.0,148.0,126.0,99.0,107.0,64.0
249,502,37.0,171.0,141.0,133.0,138.0,93.0
250,503,42.0,147.0,162.0,170.0,189.0,125.0
251,504,20.0,99.0,93.0,103.0,98.0,65.0
252,505,7.0,53.0,63.0,55.0,49.0,40.0
253,506,,1.0,1.0,3.0,1.0,3.0
254,508,,1.0,1.0,2.0,1.0,
255,509,,,1.0,2.0,3.0,
256,510,,,1.0,1.0,,1.0
257,521,,,,,1.0,
258,523,,,,,1.0,
259,524,,,1.0,1.0,1.0,
260,525,19.0,84.0,81.0,60.0,70.0,45.0
261,526,36.0,156.0,137.0,147.0,124.0,76.0
262,527,17.0,124.0,101.0,114.0,103.0,51.0
263,528,9.0,37.0,38.0,39.0,35.0,31.0
264,529,12.0,54.0,40.0,46.0,53.0,35.0
265,530,,5.0,4.0,3.0,6.0,1.0
266,531,,6.0,1.0,1.0,,
267,533,1.0,3.0,5.0,2.0,5.0,5.0
268,534,,1.0,1.0,,,1.0
269,535,,,2.0,,1.0,
270,550,34.0,166.0,204.0,172.0,170.0,96.0
271,551,38.0,140.0,165.0,143.0,136.0,90.0
272,552,11.0,35.0,39.0,21.0,54.0,25.0
273,553,5.0,6.0,11.0,14.0,10.0,4.0
274,554,3.0,3.0,4.0,2.0,5.0,3.0
275,555,,,5.0,2.0,2.0,4.0
276,556,,1.0,,,1.0,
277,557,1.0,2.0,3.0,,2.0,1.0
278,558,2.0,4.0,6.0,4.0,4.0,7.0
279,559,,2.0,,2.0,3.0,
280,560,,,1.0,1.0,1.0,2.0
281,568,,,,1.0,,
282,575,19.0,40.0,62.0,51.0,50.0,24.0
283,576,47.0,183.0,140.0,144.0,163.0,94.0
284,577,11.0,65.0,77.0,92.0,65.0,45.0
285,578,,,1.0,1.0,,
286,579,,,,1.0,,
287,582,,,,,1.0,
288,583,,,1.0,2.0,1.0,
289,584,,1.0,,1.0,,1.0
290,587,,,,,,1.0
291,600,,3.0,7.0,11.0,4.0,4.0
292,601,11.0,63.0,74.0,70.0,51.0,51.0
293,603,1.0,2.0,,1.0,,
294,604,2.0,6.0,4.0,5.0,7.0,3.0
295,605,,,,1.0,1.0,1.0
296,608,,1.0,,1.0,,1.0
297,609,,,,,1.0,
298,611,,,1.0,,1.0,
299,612,,,,,,1.0
300,627,,,,,1.0,
301,628,2.0,7.0,8.0,5.0,5.0,6.0
302,629,2.0,11.0,7.0,4.0,5.0,10.0
303,630,,5.0,9.0,8.0,1.0,2.0
304,631,,1.0,3.0,,2.0,1.0
305,632,1.0,1.0,3.0,4.0,4.0,5.0
306,633,,,1.0,,3.0,2.0
307,636,,,,,1.0,
308,652,,1.0,1.0,,,
309,653,1.0,4.0,4.0,,6.0,6.0
310,654,3.0,11.0,7.0,13.0,12.0,5.0
311,655,,5.0,8.0,1.0,7.0,4.0
312,656,,2.0,2.0,,,
313,657,,,1.0,1.0,,1.0
314,658,,1.0,1.0,,1.0,
315,659,,,1.0,,1.0,1.0
316,660,,1.0,,1.0,,
317,673,,,,,1.0,
318,677,,2.0,,1.0,,
319,678,1.0,6.0,5.0,,6.0,4.0
320,679,,1.0,,1.0,2.0,1.0
321,680,,4.0,2.0,1.0,4.0,3.0
322,681,,1.0,4.0,3.0,2.0,3.0
323,682,,1.0,,,1.0,
324,683,,,,,,1.0
325,684,,,,,1.0,
326,686,,,,2.0,,1.0
327,701,,,,1.0,,1.0
328,702,,,2.0,1.0,,
329,703,2.0,2.0,1.0,,2.0,2.0
330,705,1.0,,1.0,,2.0,2.0
331,706,1.0,2.0,2.0,1.0,2.0,1.0
332,708,,1.0,,,,
333,709,,,,,,1.0
334,720,,,,,1.0,
335,723,,,,,,1.0
336,724,1.0,,,,,1.0
337,726,,,,,1.0,
338,727,,,1.0,,,1.0
339,728,,1.0,,,,
340,729,,,,,1.0,
341,730,,1.0,3.0,,1.0,1.0
342,731,,2.0,1.0,,,2.0
343,737,,,,,,1.0
344,746,,,,,1.0,
345,749,,,,1.0,,
346,753,,,,1.0,1.0,
347,754,,1.0,,1.0,,
348,755,,,1.0,,,
349,759,,,,,1.0,
350,760,,,1.0,,,
351,764,,,,,1.0,
352,767,,,1.0,,,
353,771,,,,1.0,,
354,777,,,,1.0,,
355,778,,,2.0,,,
356,783,,,,1.0,,
357,786,1.0,,,,,
358,787,,1.0,,1.0,,
